Price,Address,Bedrooms,Baths,Area
725000,"18 St Alphonsus' Road Lower (Pre'63 Plus Site with FPP), Drumcondra, Dublin 9",6,3,170
475000,"105 Saint Attracta Road, Cabra, Dublin 7",3,2,98
470000,"6 Bolton Grove, Ballyboden Road, Rathfarnham, Dublin 14",2,2,85
560000,"5 Bolton Grove, Ballyboden Road, Rathfarnham, Dublin 14",3,2,115
575000,"66 Pembroke Cottages Donnybrook Dublin 4, Donnybrook, Dublin 4",1,1,86
495000,"17 Rock Road, Blackrock, Co. Dublin",2,1,61
275000,"4 Catherine's Lane, Constitution Hill, Dublin 7",1,1,48
395000,"12 Rosemount Court, Booterstown, Co. Dublin",2,1,58
1300000,"4 Carlton, Pembroke Gardens, Ballsbridge, Dublin 4",3,3,184
1250000,"Dalkey Manor, Dalkey, Co. Dublin",4,4,193
575000,"273 Navan Road, Dublin 7",5,2,158
159500,"52 Elmfield Court, Clondalkin, Dublin 22",1,1,
575000,"Apartment 4, The Square, Beggar's Bush, Ballsbridge, Dublin 4",2,1,59
620000,"2 Cranmer Place, Haddington Road, Dublin 4",3,3,93
205000,"Apartment 55, Bolton Square, Dublin 1",1,1,41
280000,"115 Saint Attracta Road, Cabra, Cabra, Dublin 7",2,1,61
280000,"47 Hunters Lane, Hunters Wood, Ballycullen, Dublin 24",2,1,63
685000,"17 Balkill Park, Howth, Dublin 13",3,2,128
500000,"20 Lanesville, Off Monkstown Avenue, Dun Laoghaire, Co. Dublin",,,009
295000,"15 Park Crescent House, Blackhorse Avenue, Dublin 7",2,1,57
375000,"32 Castleknock Elms, Castleknock, Dublin 15",3,1,104
255000,"72 Saul Road, Crumlin, Crumlin, Dublin 12",3,1,74
235000,"51 The Steeples, Chapelizod, Chapelizod, Dublin 20",2,1,62
395000,"32 Ashcroft, Raheny, Dublin 5",3,1,76
1200000,"21 Grove Park, Rathmines, Dublin 6",9,,204
495000,"131 Raheny Road, Raheny, Dublin 5",3,1,108
250000,"Apartment 180, Temple Court, Northwood, Santry, Dublin 9",2,2,68
265000,"6 Westbourne View, Clondalkin, Clondalkin, Dublin 22",3,1,73
300000,"Apartment 14, Garthy Wood, Knocklyon, Dublin 16",2,2,
875000,"4 Cumberland Road, Off Fitzwilliam Place, Dublin 2",2,2,110
